zip,slic,state,city
00601,3229,PR,ADJUNTAS
00602,3229,PR,AGUADA
00603,3229,PR,AGUADILLA
00604,3229,PR,AGUADILLA
00605,3229,PR,AGUADILLA
00606,3229,PR,MARICAO
00610,3229,PR,ANASCO
00611,3229,PR,ANGELES
00612,3229,PR,ARECIBO
00613,3229,PR,ARECIBO
00614,3229,PR,ARECIBO
00616,3229,PR,BAJADERO
00617,3229,PR,BARCELONETA
00622,3229,PR,BOQUERON
00623,3229,PR,CABO ROJO
00624,3229,PR,PENUELAS
00627,3229,PR,CAMUY
00631,3229,PR,CASTANER
00636,3229,PR,ROSARIO
00637,3229,PR,SABANA GRANDE
00638,3229,PR,CIALES
00641,3229,PR,UTUADO
00646,3229,PR,DORADO
00647,3229,PR,ENSENADA
00650,3229,PR,FLORIDA
00652,3229,PR,GARROCHALES
00653,3229,PR,GUANICA
00656,3229,PR,GUAYANILLA
00659,3229,PR,HATILLO
00660,3229,PR,HORMIGUEROS
00662,3229,PR,ISABELA
00664,3229,PR,JAYUYA
00667,3229,PR,LAJAS
00669,3229,PR,LARES
00670,3229,PR,LAS MARIAS
00674,3229,PR,MANATI
00676,3229,PR,MOCA
00677,3229,PR,RINCON
00678,3229,PR,QUEBRADILLAS
00680,3229,PR,MAYAGUEZ
00681,3229,PR,MAYAGUEZ
00682,3229,PR,MAYAGUEZ
00683,3229,PR,SAN GERMAN
00685,3229,PR,SAN SEBASTIAN
00687,3229,PR,MOROVIS
00688,3229,PR,SABANA HOYOS
00690,3229,PR,SAN ANTONIO
00692,3229,PR,VEGA ALTA
00693,3229,PR,VEGA BAJA
00694,3229,PR,VEGA BAJA
00698,3229,PR,YAUCO
00703,3229,PR,AGUAS BUENAS
00704,3229,PR,AGUIRRE
00705,3229,PR,AIBONITO
00707,3229,PR,MAUNABO
00714,3229,PR,ARROYO
00715,3229,PR,MERCEDITA
00716,3229,PR,PONCE
00717,3229,PR,PONCE
00718,3229,PR,NAGUABO
00719,3229,PR,NARANJITO
00720,3229,PR,OROCOVIS
00721,3229,PR,PALMER
00723,3229,PR,PATILLAS
00725,3229,PR,CAGUAS
00726,3229,PR,CAGUAS
00727,3229,PR,CAGUAS
00728,3229,PR,PONCE
00729,3229,PR,CANOVANAS
00730,3229,PR,PONCE
00731,3229,PR,PONCE
00732,3229,PR,PONCE
00733,3229,PR,PONCE
00734,3229,PR,PONCE
00735,3229,PR,CEIBA
00736,3229,PR,CAYEY
00737,3229,PR,CAYEY
00738,3229,PR,FAJARDO
00739,3229,PR,CIDRA
00740,3229,PR,PUERTO REAL
00741,3229,PR,PUNTA SANTIAGO
00742,3229,PR,ROOSEVELT ROADS
00744,3229,PR,RIO BLANCO
00745,3229,PR,RIO GRANDE
00751,3229,PR,SALINAS
00754,3229,PR,SAN LORENZO
00757,3229,PR,SANTA ISABEL
00765,3229,PR,VIEQUES
00766,3229,PR,VILLALBA
00767,3229,PR,YABUCOA
00769,3229,PR,COAMO
00771,3229,PR,LAS PIEDRAS
00772,3229,PR,LOIZA
00773,3229,PR,LUQUILLO
00775,3229,PR,CULEBRA
00777,3229,PR,JUNCOS
